Id,MSSubClass,MSZoning,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,SalePrice_log,MasVnrType,MasVnrArea,Electrical,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,MSZoning_labeled,LotShape_labeled,LandContour_labeled,Utilities_labeled,LotConfig_labeled,LandSlope_labeled,Neighborhood_labeled,Condition1_labeled,BldgType_labeled,HouseStyle_labeled,RoofStyle_labeled,RoofMatl_labeled,Exterior1st_labeled,Exterior2nd_labeled,ExterQual_labeled,Foundation_labeled,Heating_labeled,HeatingQC_labeled,CentralAir_labeled,KitchenQual_labeled,PavedDrive_labeled,SaleType_labeled,SaleCondition_labeled,MasVnrType_labeled,Electrical_labeled,BsmtQual_labeled,BsmtCond_labeled,BsmtExposure_labeled,BsmtFinType1_labeled
14,20,RL,10652,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,Gd,PConc,0,0,1494,1494,GasA,Ex,Y,1494,0,0,1494,0,0,2,0,3,1,Gd,7,1,3,840,Y,160,33,0,0,0,0,0,8,New,Partial,279500,12.540757571577291,Stone,306.0,SBrkr,Gd,TA,Av,Unf,3,0,3,0,4,0,5,2,0,2,1,1,12,13,2,2,1,0,1,2,2,6,5,3,4,2,4,0,6
15,20,RL,10920,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,Hip,CompShg,MetalSd,MetalSd,TA,CBlock,733,0,520,1253,GasA,TA,Y,1253,0,0,1253,1,0,1,1,2,1,TA,5,1,1,352,Y,0,213,176,0,0,0,0,5,WD,Normal,157000,11.964001084330445,BrkFace,212.0,SBrkr,TA,TA,No,BLQ,3,0,3,0,0,0,12,2,0,2,3,1,8,8,3,1,1,4,1,3,2,8,4,1,4,4,4,4,1
16,45,RM,6120,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,7,Gable,CompShg,Wd Sdng,Wd Sdng,TA,BrkTil,0,0,832,832,GasA,Ex,Y,854,0,0,854,0,0,1,0,2,1,TA,5,0,2,576,Y,48,112,0,0,0,0,0,7,WD,Normal,132000,11.790557201568507,None,0.0,FuseA,TA,TA,No,Unf,4,3,3,0,0,0,3,2,0,1,1,1,13,14,3,0,1,0,1,3,2,8,4,2,0,4,4,4,6
17,20,RL,11241,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,6,Gable,CompShg,Wd Sdng,Wd Sdng,TA,CBlock,578,0,426,1004,GasA,Ex,Y,1004,0,0,1004,1,0,1,0,2,1,TA,5,1,2,480,Y,0,0,0,0,0,0,700,3,WD,Normal,149000,11.911701584927597,BrkFace,180.0,SBrkr,TA,TA,No,ALQ,3,0,3,0,1,0,12,2,0,2,1,1,13,14,3,1,1,0,1,3,2,8,4,1,4,4,4,4,0
18,90,RL,10791,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Duplex,1Story,4,Gable,CompShg,MetalSd,MetalSd,TA,Slab,0,0,0,0,GasA,TA,Y,1296,0,0,1296,0,0,2,0,2,2,TA,6,0,2,516,Y,0,0,0,0,0,0,500,10,WD,Normal,90000,11.407564949312402,None,0.0,SBrkr,NA,NA,NA,NA,3,3,3,0,4,0,19,2,2,2,1,1,8,8,3,3,1,4,1,3,2,8,4,2,4,3,2,3,4
19,20,RL,13695,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,TA,PConc,646,0,468,1114,GasA,Ex,Y,1114,0,0,1114,1,0,1,1,3,1,Gd,6,0,2,576,Y,0,102,0,0,0,0,0,6,WD,Normal,159000,11.976659481202368,None,0.0,SBrkr,TA,TA,No,GLQ,3,3,3,0,4,0,20,5,0,2,1,1,12,13,3,2,1,0,1,2,2,8,4,2,4,4,4,4,2
20,20,RL,7560,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,Hip,CompShg,BrkFace,Plywood,TA,CBlock,504,0,525,1029,GasA,TA,Y,1339,0,0,1339,0,0,1,0,3,1,TA,6,0,1,294,Y,0,0,0,0,0,0,0,5,COD,Abnorml,139000,11.842229212112828,None,0.0,SBrkr,TA,TA,No,LwQ,3,3,3,0,4,0,12,2,0,2,3,1,3,10,3,1,1,4,1,3,2,0,0,2,4,4,4,4,3
21,60,RL,14215,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,PConc,0,0,1158,1158,GasA,Ex,Y,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,1,3,853,Y,240,154,0,0,0,0,0,11,New,Partial,325300,12.692503112461443,BrkFace,380.0,SBrkr,Ex,TA,Av,Unf,3,0,3,0,0,0,16,2,0,5,1,1,12,13,2,2,1,0,1,2,2,6,5,1,4,0,4,0,6
22,45,RM,7449,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Unf,7,Gable,CompShg,Wd Sdng,Wd Sdng,TA,PConc,0,0,637,637,GasA,Ex,Y,1108,0,0,1108,0,0,1,0,3,1,Gd,6,1,1,280,N,0,0,205,0,0,0,0,6,WD,Normal,139400,11.845102777308561,None,0.0,FuseF,TA,TA,No,Unf,4,3,0,0,4,0,9,2,0,1,1,1,13,14,3,2,1,0,1,2,0,8,4,2,1,4,4,4,6
23,20,RL,9742,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,Hip,CompShg,VinylSd,VinylSd,Gd,PConc,0,0,1777,1777,GasA,Ex,Y,1795,0,0,1795,0,0,2,0,3,1,Gd,7,1,2,534,Y,171,159,0,0,0,0,0,9,WD,Normal,230000,12.345834587905333,BrkFace,281.0,SBrkr,Gd,TA,No,Unf,3,3,3,0,4,0,5,2,0,2,3,1,12,13,2,2,1,0,1,2,2,8,4,1,4,2,4,4,6
24,120,RM,4224,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,5,Gable,CompShg,CemntBd,CmentBd,TA,PConc,840,0,200,1040,GasA,TA,Y,1060,0,0,1060,1,0,1,0,3,1,TA,6,1,2,572,Y,100,110,0,0,0,0,0,6,WD,Normal,129900,11.77452020265869,None,0.0,SBrkr,Gd,TA,No,GLQ,4,3,3,0,4,0,10,2,4,2,1,1,5,5,3,2,1,4,1,3,2,8,4,2,4,2,4,4,2
25,20,RL,8246,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,Gable,CompShg,Plywood,Plywood,TA,CBlock,188,668,204,1060,GasA,Ex,Y,1060,0,0,1060,1,0,1,0,3,1,Gd,6,1,1,270,Y,406,90,0,0,0,0,0,5,WD,Normal,154000,11.944707881395766,None,0.0,SBrkr,TA,TA,Mn,Rec,3,0,3,0,4,0,19,2,0,2,1,1,9,10,3,1,1,0,1,2,2,8,4,2,4,4,4,2,5
26,20,RL,14230,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,PConc,0,0,1566,1566,GasA,Ex,Y,1600,0,0,1600,0,0,2,0,3,1,Gd,7,1,3,890,Y,0,56,0,0,0,0,0,7,WD,Normal,256300,12.454103912352162,Stone,640.0,SBrkr,Gd,TA,No,Unf,3,3,3,0,0,0,16,2,0,2,1,1,12,13,2,2,1,0,1,2,2,8,4,3,4,2,4,4,6
27,20,RL,7200,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,TA,CBlock,234,486,180,900,GasA,TA,Y,900,0,0,900,0,1,1,0,3,1,Gd,5,0,2,576,Y,222,32,0,0,0,0,0,5,WD,Normal,134800,11.811547477460344,None,0.0,SBrkr,TA,TA,Mn,BLQ,3,3,3,0,0,0,12,2,0,2,1,1,13,14,3,1,1,4,1,2,2,8,4,2,4,4,4,2,1
28,20,RL,11478,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,PConc,1218,0,486,1704,GasA,Ex,Y,1704,0,0,1704,1,0,2,0,3,1,Gd,7,1,3,772,Y,0,50,0,0,0,0,0,5,WD,Normal,306000,12.631340380934517,Stone,200.0,SBrkr,Ex,TA,No,GLQ,3,3,3,0,4,0,16,2,0,2,1,1,12,13,2,2,1,0,1,2,2,8,4,3,4,0,4,4,2
29,20,RL,16321,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,5,Gable,CompShg,MetalSd,MetalSd,TA,CBlock,1277,0,207,1484,GasA,TA,Y,1600,0,0,1600,1,0,1,0,2,1,TA,6,2,1,319,Y,288,258,0,0,0,0,0,12,WD,Normal,207500,12.24288661865289,None,0.0,SBrkr,TA,TA,Gd,BLQ,3,0,3,0,1,0,12,2,0,2,1,1,8,8,3,1,1,4,1,3,2,8,4,2,4,4,4,1,1
30,30,RM,6324,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,4,Gable,CompShg,MetalSd,MetalSd,TA,BrkTil,0,0,520,520,GasA,Fa,N,520,0,0,520,0,0,1,0,1,1,Fa,4,0,1,240,Y,49,0,87,0,0,0,0,5,WD,Normal,68500,11.134589024250317,None,0.0,SBrkr,TA,TA,No,Unf,4,0,3,0,4,0,3,1,0,2,1,1,8,8,3,0,1,1,0,1,2,8,4,2,4,4,4,4,6
31,70,C (all),8500,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,1Fam,2Story,4,Gambrel,CompShg,BrkFace,BrkFace,TA,BrkTil,0,0,649,649,GasA,TA,N,649,668,0,1317,0,0,1,0,3,1,TA,6,0,1,250,N,0,54,172,0,0,0,0,7,WD,Normal,40000,10.596634733096073,None,0.0,SBrkr,TA,TA,No,Unf,0,3,3,0,4,0,9,1,0,5,2,1,3,3,3,0,1,4,0,3,0,8,4,2,4,4,4,4,6
32,20,RL,8544,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,5,Gable,CompShg,HdBoard,HdBoard,TA,CBlock,0,0,1228,1228,GasA,Gd,Y,1228,0,0,1228,0,0,1,1,3,1,Gd,6,0,1,271,Y,0,65,0,0,0,0,0,6,WD,Normal,149350,11.914047823644255,None,0.0,SBrkr,TA,TA,No,Unf,3,0,3,0,1,0,19,2,0,2,1,1,6,6,3,1,1,2,1,2,2,8,4,2,4,4,4,4,6
33,20,RL,11049,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,PConc,0,0,1234,1234,GasA,Ex,Y,1234,0,0,1234,0,0,2,0,3,1,Gd,7,0,2,484,Y,0,30,0,0,0,0,0,1,WD,Normal,179900,12.100156419938624,None,0.0,SBrkr,Ex,TA,Av,Unf,3,3,3,0,0,0,5,2,0,2,1,1,12,13,2,2,1,0,1,2,2,8,4,2,4,0,4,0,6
34,20,RL,10552,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,Hip,CompShg,BrkFace,BrkFace,TA,CBlock,1018,0,380,1398,GasA,Gd,Y,1700,0,0,1700,0,1,1,1,4,1,Gd,6,1,2,447,Y,0,38,0,0,0,0,0,4,WD,Normal,165500,12.016726473799254,None,0.0,SBrkr,TA,TA,No,Rec,3,0,3,0,4,0,12,2,0,2,3,1,3,3,3,1,1,2,1,2,2,8,4,2,4,4,4,4,5
35,120,RL,7313,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,Hip,CompShg,MetalSd,MetalSd,Ex,PConc,1153,0,408,1561,GasA,Ex,Y,1561,0,0,1561,1,0,2,0,2,1,Ex,6,1,2,556,Y,203,47,0,0,0,0,0,8,WD,Normal,277500,12.533576212168626,BrkFace,246.0,SBrkr,Ex,TA,No,GLQ,3,3,3,0,4,0,16,2,4,2,3,1,8,8,0,2,1,0,1,0,2,8,4,1,4,0,4,4,2
36,60,RL,13418,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,1Fam,2Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,PConc,0,0,1117,1117,GasA,Ex,Y,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,1,3,691,Y,113,32,0,0,0,0,0,9,WD,Normal,309000,12.641096555879882,Stone,132.0,SBrkr,Ex,TA,Av,Unf,3,3,3,0,4,0,16,2,0,5,1,1,12,13,2,2,1,0,1,2,2,8,4,3,4,0,4,0,6
37,20,RL,10859,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,1097,1097,GasA,Ex,Y,1097,0,0,1097,0,0,1,1,3,1,TA,6,0,2,672,Y,392,64,0,0,0,0,0,6,WD,Normal,145000,11.884489021402711,None,0.0,SBrkr,Gd,TA,No,Unf,3,3,3,0,0,0,5,2,0,2,1,1,12,13,3,2,1,0,1,3,2,8,4,2,4,2,4,4,6
38,20,RL,8532,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,Hip,CompShg,Wd Sdng,Wd Sdng,TA,CBlock,1213,0,84,1297,GasA,Gd,Y,1297,0,0,1297,0,1,1,0,3,1,TA,5,1,2,498,Y,0,0,0,0,0,0,0,10,WD,Normal,153000,11.938193200374572,BrkFace,650.0,SBrkr,TA,TA,No,Rec,3,3,3,0,4,0,12,2,0,2,3,1,13,14,3,1,1,2,1,3,2,8,4,1,4,4,4,4,5
39,20,RL,7922,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,TA,CBlock,731,0,326,1057,GasA,TA,Y,1057,0,0,1057,1,0,1,0,3,1,Gd,5,0,1,246,Y,0,52,0,0,0,0,0,1,WD,Abnorml,109000,11.59910316121128,None,0.0,SBrkr,TA,TA,No,GLQ,3,3,3,0,4,0,12,2,0,2,1,1,12,13,3,1,1,4,1,2,2,8,0,2,4,4,4,4,2
40,90,RL,6040,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Duplex,1Story,4,Gable,CompShg,AsbShng,Plywood,TA,PConc,0,0,0,0,GasA,TA,N,1152,0,0,1152,0,0,2,0,2,2,Fa,6,0,0,0,N,0,0,0,0,0,0,0,6,WD,AdjLand,82000,11.314474526246391,None,0.0,FuseP,NA,NA,NA,NA,3,3,3,0,4,0,7,2,2,2,1,1,0,10,3,2,1,4,0,1,0,8,1,2,2,3,2,3,4
41,20,RL,8658,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,Gable,CompShg,Wd Sdng,Wd Sdng,TA,CBlock,643,0,445,1088,GasA,Ex,Y,1324,0,0,1324,0,0,2,0,3,1,TA,6,1,2,440,Y,0,138,0,0,0,0,0,12,WD,Abnorml,160000,11.982929094215963,BrkFace,101.0,SBrkr,TA,TA,No,Rec,3,3,3,0,4,0,12,2,0,2,1,1,13,14,3,1,1,0,1,3,2,8,0,1,4,4,4,4,5
42,20,RL,16905,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,TA,CBlock,967,0,383,1350,GasA,Gd,Y,1328,0,0,1328,0,1,1,1,2,1,TA,5,2,1,308,P,0,104,0,0,0,0,0,7,WD,Normal,170000,12.043553716032399,None,0.0,SBrkr,TA,TA,Gd,BLQ,3,3,3,0,4,0,23,2,0,2,1,1,12,13,3,1,1,2,1,3,1,8,4,2,4,4,4,1,1
43,85,RL,9180,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,5,Gable,CompShg,HdBoard,HdBoard,TA,CBlock,747,93,0,840,GasA,Gd,Y,884,0,0,884,1,0,1,0,2,1,Gd,5,0,2,504,Y,240,0,0,0,0,0,0,12,WD,Normal,144000,11.877568578558138,None,0.0,SBrkr,Gd,TA,Av,ALQ,3,0,3,0,1,0,20,2,0,6,1,1,6,6,3,1,1,2,1,2,2,8,4,2,4,2,4,0,0
44,20,RL,9200,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,5,Hip,CompShg,VinylSd,VinylSd,TA,CBlock,280,491,167,938,GasA,TA,Y,938,0,0,938,1,0,1,0,3,1,TA,5,0,1,308,Y,145,0,0,0,0,0,0,7,WD,Normal,130250,11.777210959615614,None,0.0,SBrkr,Gd,TA,Av,LwQ,3,0,3,0,1,0,5,2,0,2,3,1,12,13,3,1,1,4,1,3,2,8,4,2,4,2,4,0,3
45,20,RL,7945,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,Gable,CompShg,BrkFace,Wd Sdng,TA,CBlock,179,506,465,1150,GasA,Ex,Y,1150,0,0,1150,1,0,1,0,3,1,TA,6,0,1,300,Y,0,0,0,0,0,0,0,5,WD,Normal,141000,11.856515169360305,None,0.0,FuseA,TA,TA,No,ALQ,3,3,3,0,4,0,12,2,0,2,1,1,3,14,3,1,1,0,1,3,2,8,4,2,0,4,4,4,0
46,120,RL,7658,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,Hip,CompShg,MetalSd,MetalSd,Ex,PConc,456,0,1296,1752,GasA,Ex,Y,1752,0,0,1752,1,0,2,0,2,1,Ex,6,1,2,576,Y,196,82,0,0,0,0,0,2,WD,Normal,319900,12.675763725937609,BrkFace,412.0,SBrkr,Ex,TA,No,GLQ,3,3,3,0,4,0,16,2,4,2,3,1,8,8,0,2,1,0,1,0,2,8,4,1,4,0,4,4,2
47,50,RL,12822,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,1Fam,1.5Fin,7,Gable,CompShg,VinylSd,VinylSd,Gd,PConc,1351,0,83,1434,GasA,Ex,Y,1518,631,0,2149,1,0,1,1,1,1,Gd,6,1,2,670,Y,168,43,0,0,198,0,0,8,WD,Abnorml,239686,12.387085012375499,None,0.0,SBrkr,Ex,TA,No,GLQ,3,0,3,0,1,0,11,2,0,0,1,1,12,13,2,2,1,0,1,2,2,8,0,2,4,0,4,4,2
48,20,FV,11096,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,Gable,CompShg,VinylSd,VinylSd,Gd,PConc,24,0,1632,1656,GasA,Ex,Y,1656,0,0,1656,0,0,2,0,3,1,Gd,7,0,3,826,Y,0,146,0,0,0,0,0,7,WD,Normal,249700,12.428015476267865,None,0.0,SBrkr,Gd,TA,Av,GLQ,1,3,3,0,4,0,21,2,0,2,1,1,12,13,2,2,1,0,1,2,2,8,4,2,4,2,4,0,2
